"country","year","vote_share_cab","vote_share_cab_tmin1","satislfe_survey_mean","parties_ingov","seatshare_cabinet","cab_ideol_sd","ENEP_tmin1"
"AUT",1995,66.4000015258789,62.5999984741211,3.24044275283813,2,0.639344274997711,1.94030106067657,3.86999988555908
"AUT",1999,60.0999984741211,66.4000015258789,3.12549805641174,2,0.672131180763245,1.94030106067657,3.58999991416931
"AUT",2002,52.310001373291,53.7999992370605,3.11926603317261,2,0.568306028842926,1.32660305500031,3.8199999332428
"AUT",2006,38.4000015258789,42.2999992370605,3.01688194274902,2,0.497267782688141,1.66643857955933,3.01999998092651
"AUT",2008,55.2400016784668,69.5999984741211,2.99697589874268,2,0.732240438461304,1.94030106067657,3.71000003814697
"AUT",2013,50.7999992370605,55.2400016784668,3.02615690231323,2,0.590163946151733,1.94030106067657,4.78999996185303
"BEL",1974,74.3000030517578,72.4400024414062,3.34496426582336,5,0.75,1.81454265117645,5.86999988555908
"BEL",1977,51.5,47.5999984741211,3.30195713043213,4,0.481132060289383,0.759985685348511,6.13000011444092
"BEL",1978,47.4000015258789,50.2400016784668,3.33833837509155,4,0.811320781707764,0.448887437582016,5.69000005722046
"BEL",1981,51.5,61.5999984741211,3.19268035888672,4,0.660377323627472,1.47835505008698,7.5
"BEL",1985,50.2000007629395,47.9000015258789,3.08067727088928,4,0.533018887042999,0.759985685348511,9.01000022888184
"BEL",1987,48.4599990844727,50.2000007629395,3,4,0.542452812194824,0.759985685348511,8.14999961853027
"BEL",1991,55.9000015258789,66.120002746582,3.25473475456238,5,0.707547187805176,1.60704755783081,8.14000034332275
"BEL",1995,49.4000015258789,50,3.10551333427429,4,0.566037774085999,1.47835505008698,9.8100004196167
"BEL",1999,39.6800003051758,49.4000015258789,2.9428858757019,4,0.54666668176651,1.47835505008698,9.47000026702881
"BEL",2003,33.9099998474121,38.75,2.89980554580688,4,0.626666665077209,2.15019774436951,10.2799997329712
"BEL",2007,45.4500007629395,54.689998626709,3.18415832519531,4,0.646666646003723,2.17539525032043,8.84000015258789
"BEL",2010,47.9900016784668,41.2900009155273,3.13069295883179,5,0.626666665077209,1.60636115074158,9.03999996185303
"BEL",2014,56.5099983215332,57.2299995422363,3.23306775093079,6,0.620000004768372,1.72354578971863,10.039999961853
"DEU",1976,50.5,54.2000007629395,2.96757841110229,2,0.546370983123779,1.61093068122864,2.84999990463257
"DEU",1980,53.5,50.5,3.01718902587891,2,0.510080635547638,1.61093068122864,2.91000008583069
"DEU",1983,55.7999992370605,55.0999984741211,3.00304269790649,3,0.561368227005005,0.712019860744476,3.09999990463257
"DEU",1987,53.4000015258789,55.7999992370605,2.97672247886658,3,0.55823290348053,0.712019860744476,3.22000002861023
